value,name
50,Cross-platform software
44,Free software programmed in C
44,Software design patterns
44,World Wide Web Consortium standards
43,Object-oriented programming
41,All accuracy disputes
41,Scripting languages
40,Cross-platform free software
38,Database management systems
37,Application layer protocols
35,Data types
34,Microsoft application programming interfaces
33,American inventions
30,Object-oriented programming languages
29,Dynamically typed programming languages
27,Application programming interfaces
27,Software testing
26,Java enterprise platform
26,XML-based standards
25,Apache Software Foundation
25,Java platform
25,Software architecture
24,Inter-process communication
22,Computer file formats
22,ISO standards
22,Markup languages
22,Programming paradigms
21,Free software programmed in Java (programming language)
21,Hypertext Transfer Protocol
21,Internet Standards
21,Technical communication
21,Text-oriented programming languages
20,Data management
20,Living people
20,Software using the Apache license
19,Java (programming language)
19,Software using the MIT license
19,Web frameworks
18,Free software programmed in C++
18,Pages containing links to subscription-only content
18,Source code
18,World Wide Web
17,Databases
17,Internet protocols
17,Java specification requests
17,Programming constructs
17,SQL
17,Type theory
16,Component-based software engineering
16,Functional languages
16,Unix SUS2008 utilities
15,Class-based programming languages
15,Computing platforms
15,Data modeling languages
15,Data serialization formats
15,Graphics file formats
15,HTML
15,Network protocols
15,Open formats
15,Procedural programming languages
14,Ajax (programming)
14,Architectural pattern (computer science)
14,C++
14,Computer access control
14,Extreme programming
14,Software development philosophies
14,Subroutines
14,Windows administration
13,Build automation
13,Computer graphics
13,Control flow
13,Data modeling
13,JavaScript
13,Matrices
13,Pages using duplicate arguments in template calls
13,Software using the BSD license
12,Computer companies of the United States
12,Computer network security
12,Computer security exploits
12,Cryptographic hash functions
12,GNU Project software
12,Relational database management systems
12,Unix network-related software
12,Unix shells
12,XML
11,Cloud computing providers
11,Cloud standards
11,Compiling tools
11,Computer arithmetic
11,Computing terminology
11,Cryptography
11,Free software programmed in PHP
11,Free version control software
11,Google services
11,History of the Internet
11,Internet Protocol based network software
11,JVM programming languages
11,Microsoft database software
11,Network file transfer protocols
11,Parallel computing
11,Software design
11,User interface techniques
11,Virtualization software
11,Windows components
10,2002 software
10,2005 software
10,Agile software development
10,Computer networking
10,Formal languages
10,Free compilers and interpreters
10,Free computer libraries
10,Functional programming
10,Google software
10,Graphical control elements
10,IEEE standards
10,Image processing
10,Internet architecture
10,Java platform software
10,Microsoft server technology
10,Portable software
10,Primitive types
10,Query languages
10,Search algorithms
10,Tagged pages containing blacklisted links
10,Transaction processing
10,Virtual reality
9,Adobe Systems
9,Business intelligence
9,Character encoding
9,Checksum algorithms
9,Computational linguistics
9,Computer memory
9,Computer programming stubs
9,Concurrent Versions System
9,Container formats
9,Content management systems
9,Cryptographic software
9,C++ software
9,Data warehousing
9,Digital typography
9,Edsger W. Dijkstra
9,Events (computing)
9,Free content management systems
9,IEC standards
9,Integrated development environments
9,Internet privacy
9,Iteration in programming
9,ITU-T recommendations
9,Java development tools
9,Lambda calculus
9,Mathematical notation
9,Microsoft free software
9,Microsoft Office
9,Object models
9,Programming language designers
9,Programming languages
9,Programming principles
9,Symbian software
9,Unix programming tools
8,Companies in the NASDAQ-100 Index
8,Companies listed on NASDAQ
8,Compiler construction
8,Composite data types
8,Computer occupations
8,Coordinates not on Wikidata
8,C programming language family
8,Cryptographic protocols
8,Declarative programming languages
8,E-commerce
8,High-level programming languages
8,Internet Explorer
8,JavaScript libraries
8,Memory management
8,Microsoft Visual Studio
8,Multinational companies headquartered in the United States
8,.NET Framework
8,Object-relational mapping
8,OpenGL
8,Page description languages
8,Pattern matching
8,Presentation layer protocols
8,Programming languages created in 1995
8,Proprietary cross-platform software
8,Public-key cryptography
8,Software based on WebKit
8,Software development process
8,Statically typed programming languages
8,Systems engineering
8,Web 2.0 neologisms
8,Web development
8,Web hosting
8,Widget toolkits
8,Windows communication and services
8,X Window System
7,1992 software
7,1995 software
7,1996 software
7,1999 software
7,2003 software
7,Abstract data types
7,Adobe Flash
7,Adobe software
7,Analysis of algorithms
7,Android (operating system) software
7,Arrays
7,Artificial intelligence
7,Aspect-oriented programming
7,Audio codecs
7,Binary operations
7,Computer access control protocols
7,Computer file systems
7,Computer programming
7,Concurrency control
7,Configuration files
7,Continuous integration
7,Coordinates on Wikidata
7,Free and open-source software licenses
7,Free database management systems
7,Free multilingual software
7,Free software programmed in Python
7,Free software programmers
7,Free web server software
7,Google acquisitions
7,Graphical user interfaces
7,History of human–computer interaction
7,Incomplete lists from August 2008
7,Internet terminology
7,Java (programming language) libraries
7,Knowledge representation
7,Method (computer programming)
7,Microsoft development tools
7,Mono (software)
7,Natural language processing
7,Network management
7,Office document file formats
7,Online analytical processing
7,Operations research
7,Pattern matching programming languages
